      Step     Time          Energy          fmax
BFGS:    0 10:25:34    -2476.763087       12.810647
BFGS:    1 10:25:35    -2482.525788        4.208795
BFGS:    2 10:25:36    -2485.736555        3.346016
BFGS:    3 10:25:37    -2489.095546        4.952594
BFGS:    4 10:25:38    -2491.706867        7.134103
BFGS:    5 10:25:39    -2495.378692        6.189087
BFGS:    6 10:25:41    -2496.538203        5.106770
BFGS:    7 10:25:41    -2498.364290        3.064708
BFGS:    8 10:25:42    -2499.535332        3.029778
BFGS:    9 10:25:43    -2502.139462        2.595579
BFGS:   10 10:25:44    -2503.175380        2.316635
BFGS:   11 10:25:45    -2504.920194        2.390508
BFGS:   12 10:25:45    -2506.877164        3.288621
BFGS:   13 10:25:46    -2508.155954        2.574424
BFGS:   14 10:25:47    -2509.299565        1.684154
BFGS:   15 10:25:47    -2509.766553        1.447464
BFGS:   16 10:25:48    -2510.499106        1.096147
BFGS:   17 10:25:49    -2510.791995        0.873692
BFGS:   18 10:25:50    -2511.013430        0.665721
BFGS:   19 10:25:50    -2511.092772        0.442797
BFGS:   20 10:25:51    -2511.133128        0.252449
BFGS:   21 10:25:52    -2511.148119        0.195513
BFGS:   22 10:25:52    -2511.161530        0.165295
BFGS:   23 10:25:53    -2511.172826        0.176579
BFGS:   24 10:25:54    -2511.183563        0.144710
BFGS:   25 10:25:54    -2511.192092        0.136997
BFGS:   26 10:25:55    -2511.199266        0.157821
BFGS:   27 10:25:55    -2511.206270        0.168805
BFGS:   28 10:25:56    -2511.213338        0.158474
BFGS:   29 10:25:56    -2511.219055        0.141348
BFGS:   30 10:25:57    -2511.223110        0.122300
BFGS:   31 10:25:57    -2511.226512        0.095417
BFGS:   32 10:25:58    -2511.229920        0.113985
BFGS:   33 10:25:58    -2511.232815        0.088637
BFGS:   34 10:25:59    -2511.234641        0.070990
BFGS:   35 10:25:59    -2511.235759        0.045767
BFGS:   36 10:26:00    -2511.236763        0.055409
BFGS:   37 10:26:00    -2511.237793        0.050869
BFGS:   38 10:26:01    -2511.238537        0.046781
BFGS:   39 10:26:01    -2511.238907        0.029193
BFGS:   40 10:26:01    -2511.239102        0.018521
BFGS:   41 10:26:02    -2511.239257        0.019796
BFGS:   42 10:26:02    -2511.239388        0.015563
BFGS:   43 10:26:03    -2511.239479        0.015821
BFGS:   44 10:26:03    -2511.239545        0.015517
BFGS:   45 10:26:03    -2511.239602        0.011860
BFGS:   46 10:26:04    -2511.239645        0.008871
