      Step     Time          Energy          fmax
BFGS:    0 20:06:12    -3228.631240        5.300741
BFGS:    1 20:06:13    -3233.260509        4.800424
BFGS:    2 20:06:15    -3240.922476        4.808798
BFGS:    3 20:06:17    -3245.042011       10.194844
BFGS:    4 20:06:18    -3248.562643       12.161296
BFGS:    5 20:06:20    -3251.906957        4.429362
BFGS:    6 20:06:21    -3253.461587        3.077357
BFGS:    7 20:06:22    -3254.719061        1.877893
BFGS:    8 20:06:22    -3255.457751        2.992881
BFGS:    9 20:06:23    -3256.832015        2.749887
BFGS:   10 20:06:24    -3257.573164        2.373733
BFGS:   11 20:06:25    -3258.975304        3.100655
BFGS:   12 20:06:26    -3259.787188        2.946093
BFGS:   13 20:06:27    -3260.489620        1.369713
BFGS:   14 20:06:28    -3260.980410        1.221238
BFGS:   15 20:06:29    -3261.318241        1.228339
BFGS:   16 20:06:30    -3261.880981        1.653225
BFGS:   17 20:06:31    -3262.422483        1.107495
BFGS:   18 20:06:32    -3262.944795        1.124222
BFGS:   19 20:06:32    -3263.297410        1.093421
BFGS:   20 20:06:33    -3263.553490        0.815313
BFGS:   21 20:06:34    -3263.715027        0.656155
BFGS:   22 20:06:35    -3263.934680        0.623129
BFGS:   23 20:06:35    -3264.057255        0.512459
BFGS:   24 20:06:36    -3264.147650        0.467782
BFGS:   25 20:06:37    -3264.218490        0.450731
BFGS:   26 20:06:37    -3264.285491        0.386805
BFGS:   27 20:06:38    -3264.341549        0.379337
BFGS:   28 20:06:39    -3264.380614        0.320510
BFGS:   29 20:06:40    -3264.410389        0.288917
BFGS:   30 20:06:40    -3264.442436        0.255661
BFGS:   31 20:06:41    -3264.481845        0.361763
BFGS:   32 20:06:42    -3264.527376        0.346992
BFGS:   33 20:06:42    -3264.572265        0.302581
BFGS:   34 20:06:43    -3264.604779        0.234684
BFGS:   35 20:06:44    -3264.622227        0.176922
BFGS:   36 20:06:44    -3264.631326        0.131210
BFGS:   37 20:06:45    -3264.637060        0.098078
BFGS:   38 20:06:45    -3264.640752        0.086791
BFGS:   39 20:06:46    -3264.642593        0.070243
BFGS:   40 20:06:47    -3264.643273        0.029917
BFGS:   41 20:06:47    -3264.643570        0.020991
BFGS:   42 20:06:47    -3264.643731        0.019169
BFGS:   43 20:06:48    -3264.643797        0.011229
BFGS:   44 20:06:48    -3264.643824        0.006479
