      Step     Time          Energy          fmax
BFGS:    0 20:52:51    -3725.806419        6.619403
BFGS:    1 20:52:53    -3731.024151        6.116084
BFGS:    2 20:52:55    -3739.975815        8.052177
BFGS:    3 20:52:57    -3746.710612        6.990014
BFGS:    4 20:53:00    -3745.210286       13.276677
BFGS:    5 20:53:02    -3750.948250        4.332561
BFGS:    6 20:53:04    -3752.442566        3.038143
BFGS:    7 20:53:07    -3753.660048        1.121973
BFGS:    8 20:53:09    -3753.914499        0.961464
BFGS:    9 20:53:11    -3754.387063        0.855324
BFGS:   10 20:53:13    -3754.631140        0.829933
BFGS:   11 20:53:16    -3754.840757        1.191554
BFGS:   12 20:53:18    -3755.145654        1.325340
BFGS:   13 20:53:20    -3755.567226        1.795331
BFGS:   14 20:53:22    -3756.036720        1.347168
BFGS:   15 20:53:24    -3756.608566        1.249151
BFGS:   16 20:53:26    -3756.882476        1.164152
BFGS:   17 20:53:27    -3757.311727        1.268724
BFGS:   18 20:53:29    -3757.566530        1.181127
BFGS:   19 20:53:31    -3757.898131        0.786406
BFGS:   20 20:53:33    -3758.153800        0.635511
BFGS:   21 20:53:34    -3758.306809        0.625035
BFGS:   22 20:53:36    -3758.440370        0.428168
BFGS:   23 20:53:38    -3758.493336        0.285709
BFGS:   24 20:53:39    -3758.515887        0.184144
BFGS:   25 20:53:41    -3758.526498        0.170027
BFGS:   26 20:53:42    -3758.534483        0.139722
BFGS:   27 20:53:44    -3758.543647        0.138125
BFGS:   28 20:53:45    -3758.553425        0.153875
BFGS:   29 20:53:47    -3758.562861        0.138214
BFGS:   30 20:53:48    -3758.573870        0.156305
BFGS:   31 20:53:50    -3758.589326        0.189035
BFGS:   32 20:53:52    -3758.608628        0.239472
BFGS:   33 20:53:53    -3758.627037        0.202413
BFGS:   34 20:53:55    -3758.641669        0.134358
BFGS:   35 20:53:56    -3758.653120        0.176265
BFGS:   36 20:53:58    -3758.662356        0.164561
BFGS:   37 20:53:59    -3758.668338        0.098914
BFGS:   38 20:54:01    -3758.670929        0.056351
BFGS:   39 20:54:02    -3758.672255        0.039576
BFGS:   40 20:54:03    -3758.673701        0.061020
BFGS:   41 20:54:05    -3758.675679        0.064824
BFGS:   42 20:54:06    -3758.677932        0.068849
BFGS:   43 20:54:07    -3758.680202        0.082095
BFGS:   44 20:54:09    -3758.682596        0.086328
BFGS:   45 20:54:10    -3758.685104        0.082202
BFGS:   46 20:54:12    -3758.687400        0.077589
BFGS:   47 20:54:13    -3758.689401        0.054608
BFGS:   48 20:54:15    -3758.691700        0.091705
BFGS:   49 20:54:16    -3758.695169        0.115185
BFGS:   50 20:54:18    -3758.699915        0.120434
BFGS:   51 20:54:19    -3758.704519        0.103084
BFGS:   52 20:54:21    -3758.707656        0.066177
BFGS:   53 20:54:22    -3758.709695        0.069115
BFGS:   54 20:54:24    -3758.711746        0.080051
BFGS:   55 20:54:25    -3758.713996        0.076352
BFGS:   56 20:54:27    -3758.715987        0.057758
BFGS:   57 20:54:29    -3758.717552        0.060371
BFGS:   58 20:54:30    -3758.718925        0.055261
BFGS:   59 20:54:32    -3758.720261        0.056461
BFGS:   60 20:54:33    -3758.721560        0.063332
BFGS:   61 20:54:35    -3758.722815        0.075515
BFGS:   62 20:54:37    -3758.724391        0.080603
BFGS:   63 20:54:39    -3758.726777        0.079837
BFGS:   64 20:54:40    -3758.729881        0.095265
BFGS:   65 20:54:42    -3758.733339        0.086856
BFGS:   66 20:54:44    -3758.737405        0.085335
BFGS:   67 20:54:46    -3758.740893        0.097352
BFGS:   68 20:54:48    -3758.745720        0.095164
BFGS:   69 20:54:50    -3758.749170        0.103197
BFGS:   70 20:54:52    -3758.753325        0.084042
BFGS:   71 20:54:53    -3758.755603        0.065003
BFGS:   72 20:54:55    -3758.757567        0.051782
BFGS:   73 20:54:56    -3758.758712        0.050596
BFGS:   74 20:54:58    -3758.760149        0.055321
BFGS:   75 20:54:59    -3758.760888        0.051092
BFGS:   76 20:55:01    -3758.761459        0.032208
BFGS:   77 20:55:02    -3758.761919        0.033103
BFGS:   78 20:55:03    -3758.762360        0.026932
BFGS:   79 20:55:05    -3758.762710        0.032078
BFGS:   80 20:55:06    -3758.763018        0.026797
BFGS:   81 20:55:08    -3758.763311        0.024041
BFGS:   82 20:55:09    -3758.763609        0.024049
BFGS:   83 20:55:10    -3758.763918        0.034348
BFGS:   84 20:55:12    -3758.764239        0.034060
BFGS:   85 20:55:13    -3758.764578        0.032978
BFGS:   86 20:55:15    -3758.764921        0.032115
BFGS:   87 20:55:16    -3758.765214        0.026005
BFGS:   88 20:55:17    -3758.765418        0.022929
BFGS:   89 20:55:19    -3758.765564        0.020683
BFGS:   90 20:55:20    -3758.765702        0.019659
BFGS:   91 20:55:22    -3758.765845        0.021518
BFGS:   92 20:55:23    -3758.765960        0.013623
BFGS:   93 20:55:24    -3758.766046        0.014345
BFGS:   94 20:55:26    -3758.766124        0.015784
BFGS:   95 20:55:27    -3758.766236        0.026168
BFGS:   96 20:55:28    -3758.766407        0.031603
BFGS:   97 20:55:30    -3758.766597        0.024631
BFGS:   98 20:55:31    -3758.766709        0.018510
BFGS:   99 20:55:32    -3758.766762        0.017964
BFGS:  100 20:55:33    -3758.766807        0.015769
BFGS:  101 20:55:34    -3758.766875        0.015002
BFGS:  102 20:55:36    -3758.766972        0.014649
BFGS:  103 20:55:37    -3758.767054        0.014565
BFGS:  104 20:55:38    -3758.767110        0.008536
