      Step     Time          Energy          fmax
BFGS:    0 20:38:44    -3061.361907        7.045723
BFGS:    1 20:38:47    -3066.292571        4.655714
BFGS:    2 20:38:49    -3072.082288        4.629002
BFGS:    3 20:38:51    -3073.257128        4.111122
BFGS:    4 20:38:53    -3074.072057        2.798185
BFGS:    5 20:38:55    -3074.713230        2.813604
BFGS:    6 20:38:57    -3075.025783        1.205942
BFGS:    7 20:38:58    -3075.379380        1.417036
BFGS:    8 20:39:00    -3076.479558        2.546557
BFGS:    9 20:39:01    -3077.843185        4.267877
BFGS:   10 20:39:03    -3079.246881        5.171994
BFGS:   11 20:39:04    -3080.131043        5.816256
BFGS:   12 20:39:06    -3083.925485        4.595175
BFGS:   13 20:39:07    -3087.298088        4.815016
BFGS:   14 20:39:08    -3090.746816        5.123800
BFGS:   15 20:39:09    -3091.989485        6.205672
BFGS:   16 20:39:10    -3092.459178        4.403640
BFGS:   17 20:39:11    -3093.892721        1.954991
BFGS:   18 20:39:12    -3094.585209        2.478194
BFGS:   19 20:39:13    -3095.618209        4.302525
BFGS:   20 20:39:13    -3097.163901        5.379662
BFGS:   21 20:39:14    -3098.343131        5.284673
BFGS:   22 20:39:15    -3098.834584        6.957887
BFGS:   23 20:39:16    -3100.114153        2.885977
BFGS:   24 20:39:17    -3100.745904        1.913172
BFGS:   25 20:39:17    -3101.169386        1.382491
BFGS:   26 20:39:18    -3101.296356        1.120501
BFGS:   27 20:39:19    -3101.583591        0.732839
BFGS:   28 20:39:20    -3101.706140        0.769525
BFGS:   29 20:39:20    -3101.898632        0.795616
BFGS:   30 20:39:21    -3102.057578        0.717192
BFGS:   31 20:39:22    -3102.216403        0.668197
BFGS:   32 20:39:22    -3102.332232        0.407322
BFGS:   33 20:39:23    -3102.416456        0.372497
BFGS:   34 20:39:24    -3102.475604        0.349478
BFGS:   35 20:39:24    -3102.533626        0.462615
BFGS:   36 20:39:25    -3102.596825        0.508233
BFGS:   37 20:39:26    -3102.658442        0.382432
BFGS:   38 20:39:26    -3102.714236        0.423614
BFGS:   39 20:39:27    -3102.765424        0.391932
BFGS:   40 20:39:28    -3102.814045        0.370553
BFGS:   41 20:39:28    -3102.853917        0.281594
BFGS:   42 20:39:29    -3102.879640        0.186923
BFGS:   43 20:39:29    -3102.896126        0.212718
BFGS:   44 20:39:30    -3102.907719        0.217606
BFGS:   45 20:39:30    -3102.915526        0.134489
BFGS:   46 20:39:31    -3102.920214        0.107600
BFGS:   47 20:39:31    -3102.922963        0.100575
BFGS:   48 20:39:32    -3102.924806        0.099053
BFGS:   49 20:39:32    -3102.926023        0.071220
BFGS:   50 20:39:33    -3102.926733        0.064396
BFGS:   51 20:39:33    -3102.927205        0.047693
BFGS:   52 20:39:34    -3102.927551        0.039980
BFGS:   53 20:39:34    -3102.927787        0.033305
BFGS:   54 20:39:35    -3102.927967        0.030116
BFGS:   55 20:39:35    -3102.928140        0.024432
BFGS:   56 20:39:35    -3102.928305        0.025803
BFGS:   57 20:39:36    -3102.928415        0.015301
BFGS:   58 20:39:36    -3102.928476        0.013051
BFGS:   59 20:39:36    -3102.928516        0.010295
BFGS:   60 20:39:37    -3102.928546        0.008184
