      Step     Time          Energy          fmax
BFGS:    0 21:20:43    -3332.396630       11.540148
BFGS:    1 21:20:45    -3341.974937        7.985982
BFGS:    2 21:20:47    -3344.345849       11.672938
BFGS:    3 21:20:49    -3347.384761        2.453061
BFGS:    4 21:20:50    -3348.305127        2.549314
BFGS:    5 21:20:52    -3349.618433        2.287641
BFGS:    6 21:20:53    -3350.246025        3.064153
BFGS:    7 21:20:54    -3350.884117        1.476774
BFGS:    8 21:20:56    -3351.215900        1.463524
BFGS:    9 21:20:58    -3351.526380        1.394599
BFGS:   10 21:21:00    -3351.820359        1.265764
BFGS:   11 21:21:02    -3352.151318        0.963823
BFGS:   12 21:21:04    -3352.441651        0.824910
BFGS:   13 21:21:06    -3352.664422        0.590014
BFGS:   14 21:21:07    -3352.783071        0.564119
BFGS:   15 21:21:09    -3352.858466        0.392848
BFGS:   16 21:21:11    -3352.913206        0.480101
BFGS:   17 21:21:12    -3352.949865        0.345575
BFGS:   18 21:21:13    -3352.971925        0.205877
BFGS:   19 21:21:15    -3352.988449        0.244129
BFGS:   20 21:21:16    -3353.008902        0.282777
BFGS:   21 21:21:17    -3353.036767        0.283917
BFGS:   22 21:21:18    -3353.067465        0.259770
BFGS:   23 21:21:19    -3353.089030        0.255851
BFGS:   24 21:21:21    -3353.102576        0.179051
BFGS:   25 21:21:22    -3353.115920        0.188394
BFGS:   26 21:21:23    -3353.131715        0.162303
BFGS:   27 21:21:25    -3353.143662        0.108840
BFGS:   28 21:21:26    -3353.148735        0.068845
BFGS:   29 21:21:28    -3353.150369        0.050839
BFGS:   30 21:21:28    -3353.151431        0.040411
BFGS:   31 21:21:30    -3353.152611        0.038769
BFGS:   32 21:21:31    -3353.153573        0.038096
BFGS:   33 21:21:32    -3353.154231        0.036111
BFGS:   34 21:21:32    -3353.154914        0.039008
BFGS:   35 21:21:33    -3353.155640        0.052856
BFGS:   36 21:21:35    -3353.156244        0.046988
BFGS:   37 21:21:36    -3353.156696        0.030260
BFGS:   38 21:21:37    -3353.157166        0.027802
BFGS:   39 21:21:38    -3353.157784        0.033507
BFGS:   40 21:21:39    -3353.158436        0.041145
BFGS:   41 21:21:41    -3353.158879        0.028333
BFGS:   42 21:21:42    -3353.159126        0.026917
BFGS:   43 21:21:43    -3353.159359        0.029007
BFGS:   44 21:21:44    -3353.159730        0.040966
BFGS:   45 21:21:45    -3353.160264        0.056066
BFGS:   46 21:21:47    -3353.160811        0.048038
BFGS:   47 21:21:48    -3353.161197        0.024779
BFGS:   48 21:21:49    -3353.161469        0.024619
BFGS:   49 21:21:50    -3353.161720        0.022819
BFGS:   50 21:21:51    -3353.161987        0.028366
BFGS:   51 21:21:52    -3353.162216        0.018470
BFGS:   52 21:21:53    -3353.162358        0.012876
BFGS:   53 21:21:54    -3353.162420        0.007029
