      Step     Time          Energy          fmax
BFGS:    0 20:34:43    -3314.013156        7.922056
BFGS:    1 20:34:44    -3321.148983        5.626765
BFGS:    2 20:34:45    -3323.273274       12.833630
BFGS:    3 20:34:46    -3326.188805        2.079016
BFGS:    4 20:34:47    -3326.998208        1.504640
BFGS:    5 20:34:48    -3327.902136        1.527187
BFGS:    6 20:34:49    -3328.303184        1.104603
BFGS:    7 20:34:50    -3328.970033        1.260067
BFGS:    8 20:34:51    -3329.209496        1.248588
BFGS:    9 20:34:52    -3329.561758        0.743395
BFGS:   10 20:34:53    -3329.711211        0.605938
BFGS:   11 20:34:53    -3329.836619        0.434748
BFGS:   12 20:34:54    -3329.921837        0.517057
BFGS:   13 20:34:55    -3330.007743        0.506833
BFGS:   14 20:34:56    -3330.071235        0.473849
BFGS:   15 20:34:57    -3330.116295        0.368763
BFGS:   16 20:34:58    -3330.147319        0.245028
BFGS:   17 20:34:58    -3330.170140        0.204833
BFGS:   18 20:34:59    -3330.186487        0.215950
BFGS:   19 20:34:59    -3330.200418        0.190466
BFGS:   20 20:35:00    -3330.213723        0.167357
BFGS:   21 20:35:01    -3330.224932        0.147356
BFGS:   22 20:35:01    -3330.231761        0.132340
BFGS:   23 20:35:02    -3330.235735        0.090259
BFGS:   24 20:35:03    -3330.239094        0.094950
BFGS:   25 20:35:03    -3330.242257        0.086950
BFGS:   26 20:35:04    -3330.244671        0.093083
BFGS:   27 20:35:04    -3330.246316        0.068604
BFGS:   28 20:35:05    -3330.247532        0.048408
BFGS:   29 20:35:06    -3330.248627        0.060973
BFGS:   30 20:35:06    -3330.249796        0.061063
BFGS:   31 20:35:07    -3330.251214        0.081325
BFGS:   32 20:35:08    -3330.252970        0.088448
BFGS:   33 20:35:08    -3330.254614        0.068183
BFGS:   34 20:35:09    -3330.255636        0.041061
BFGS:   35 20:35:10    -3330.256200        0.039294
BFGS:   36 20:35:10    -3330.256554        0.036539
BFGS:   37 20:35:11    -3330.256805        0.032699
BFGS:   38 20:35:11    -3330.256945        0.016417
BFGS:   39 20:35:12    -3330.257013        0.012105
BFGS:   40 20:35:12    -3330.257058        0.009448
