      Step     Time          Energy          fmax
BFGS:    0 20:30:53    -2509.284565        7.994483
BFGS:    1 20:30:54    -2516.530838        6.892723
BFGS:    2 20:30:54    -2515.499368       19.339951
BFGS:    3 20:30:55    -2519.872813        4.446131
BFGS:    4 20:30:56    -2520.798329        2.654476
BFGS:    5 20:30:56    -2521.386000        2.045514
BFGS:    6 20:30:57    -2521.571984        1.002169
BFGS:    7 20:30:58    -2521.864969        0.684795
BFGS:    8 20:30:58    -2521.983461        0.974550
BFGS:    9 20:30:59    -2522.046931        0.744981
BFGS:   10 20:31:00    -2522.123764        0.346818
BFGS:   11 20:31:00    -2522.173667        0.472690
BFGS:   12 20:31:01    -2522.214362        0.478624
BFGS:   13 20:31:02    -2522.250802        0.497423
BFGS:   14 20:31:02    -2522.334003        0.822654
BFGS:   15 20:31:03    -2522.645174        2.555714
BFGS:   16 20:31:04    -2522.869251        2.066054
BFGS:   17 20:31:05    -2523.210970        1.809219
BFGS:   18 20:31:05    -2523.499976        0.984222
BFGS:   19 20:31:06    -2523.663913        0.628830
BFGS:   20 20:31:06    -2523.704124        0.513961
BFGS:   21 20:31:07    -2523.817271        0.788685
BFGS:   22 20:31:08    -2523.851072        0.621482
BFGS:   23 20:31:08    -2523.866339        0.335590
BFGS:   24 20:31:09    -2523.875661        0.240737
BFGS:   25 20:31:09    -2523.885255        0.272368
BFGS:   26 20:31:10    -2523.889983        0.203198
BFGS:   27 20:31:10    -2523.892275        0.111520
BFGS:   28 20:31:11    -2523.894055        0.091296
BFGS:   29 20:31:11    -2523.896821        0.095830
BFGS:   30 20:31:11    -2523.898677        0.088649
BFGS:   31 20:31:12    -2523.899734        0.052564
BFGS:   32 20:31:12    -2523.900258        0.037956
BFGS:   33 20:31:13    -2523.900584        0.034986
BFGS:   34 20:31:13    -2523.900756        0.026802
BFGS:   35 20:31:14    -2523.900832        0.017904
BFGS:   36 20:31:14    -2523.900872        0.009730
