      Step     Time          Energy          fmax
BFGS:    0 20:10:53    -2430.501080       76.680297
BFGS:    1 20:10:54    -2475.517795        6.566269
BFGS:    2 20:10:55    -2478.143419        2.680108
BFGS:    3 20:10:55    -2478.808286        1.278490
BFGS:    4 20:10:56    -2479.020712        0.657565
BFGS:    5 20:10:57    -2479.171684        0.490593
BFGS:    6 20:10:57    -2479.285878        0.668221
BFGS:    7 20:10:58    -2479.370755        0.714854
BFGS:    8 20:10:59    -2479.438178        0.704889
BFGS:    9 20:10:59    -2479.484010        0.567271
BFGS:   10 20:11:00    -2479.519505        0.499462
BFGS:   11 20:11:01    -2479.552886        0.320050
BFGS:   12 20:11:01    -2479.579690        0.458977
BFGS:   13 20:11:02    -2479.614970        0.537185
BFGS:   14 20:11:02    -2479.644515        0.376041
BFGS:   15 20:11:03    -2479.660309        0.198138
BFGS:   16 20:11:03    -2479.668150        0.192018
BFGS:   17 20:11:04    -2479.672659        0.167149
BFGS:   18 20:11:04    -2479.675560        0.131454
BFGS:   19 20:11:05    -2479.677242        0.053305
BFGS:   20 20:11:05    -2479.677995        0.050376
BFGS:   21 20:11:06    -2479.678708        0.055796
BFGS:   22 20:11:06    -2479.679257        0.045426
BFGS:   23 20:11:07    -2479.679613        0.045085
BFGS:   24 20:11:07    -2479.679815        0.044687
BFGS:   25 20:11:07    -2479.679966        0.029129
BFGS:   26 20:11:08    -2479.680092        0.023899
BFGS:   27 20:11:08    -2479.680177        0.016957
BFGS:   28 20:11:09    -2479.680216        0.010468
BFGS:   29 20:11:09    -2479.680254        0.011770
BFGS:   30 20:11:09    -2479.680307        0.020319
BFGS:   31 20:11:10    -2479.680372        0.024291
BFGS:   32 20:11:10    -2479.680425        0.016252
BFGS:   33 20:11:10    -2479.680458        0.008453
