      Step     Time          Energy          fmax
BFGS:    0 08:57:35    -2074.196681        8.889031
BFGS:    1 08:57:36    -2078.673967       12.010197
BFGS:    2 08:57:37    -2085.874852        7.541973
BFGS:    3 08:57:38    -2092.169222       22.828508
BFGS:    4 08:57:38    -2094.583434       25.549062
BFGS:    5 08:57:39    -2100.356918        6.279246
BFGS:    6 08:57:40    -2103.169781        2.947264
BFGS:    7 08:57:41    -2104.613406        3.282315
BFGS:    8 08:57:42    -2105.446299        3.139873
BFGS:    9 08:57:43    -2107.442835        3.856307
      Step     Time          Energy          fmax
BFGS:    0 11:02:07    -2074.196681        8.889031
BFGS:    1 11:02:07    -2078.673967       12.010197
BFGS:    2 11:02:08    -2085.874852        7.541973
BFGS:    3 11:02:09    -2092.169222       22.828508
BFGS:    4 11:02:10    -2094.583434       25.549062
BFGS:    5 11:02:11    -2100.356918        6.279246
BFGS:    6 11:02:11    -2103.169781        2.947264
BFGS:    7 11:02:12    -2104.613406        3.282315
BFGS:    8 11:02:13    -2105.446299        3.139873
BFGS:    9 11:02:13    -2107.442835        3.856307
