      Step     Time          Energy          fmax
BFGS:    0 08:55:19    -3376.183549       73.363596
BFGS:    1 08:55:24    -3398.884820        9.330491
BFGS:    2 08:55:27    -3402.819483        5.902420
BFGS:    3 08:55:30    -3405.980836        7.672527
BFGS:    4 08:55:33    -3411.373160        7.214517
BFGS:    5 08:55:36    -3414.409683        5.809346
BFGS:    6 08:55:39    -3416.175506        4.449672
BFGS:    7 08:55:41    -3418.603012        5.464924
BFGS:    8 08:55:43    -3420.234552        4.075231
BFGS:    9 08:55:46    -3422.827937        6.981906
BFGS:   10 08:55:48    -3424.946799        8.821735
BFGS:   11 08:55:50    -3426.730904       13.239696
BFGS:   12 08:55:52    -3428.618497       11.470959
BFGS:   13 08:55:54    -3431.240611        5.774863
BFGS:   14 08:55:56    -3432.785751        2.957973
BFGS:   15 08:55:58    -3433.535317        2.316034
BFGS:   16 08:56:00    -3433.943911        2.706240
BFGS:   17 08:56:01    -3434.479519        1.561398
BFGS:   18 08:56:03    -3435.155542        1.614663
BFGS:   19 08:56:05    -3435.380828        1.307164
BFGS:   20 08:56:07    -3435.591195        0.695117
BFGS:   21 08:56:09    -3435.695707        0.658974
BFGS:   22 08:56:10    -3435.788094        0.576742
BFGS:   23 08:56:12    -3435.857396        0.442757
BFGS:   24 08:56:14    -3435.919467        0.547202
BFGS:   25 08:56:15    -3435.980377        0.492875
BFGS:   26 08:56:17    -3436.043896        0.437737
BFGS:   27 08:56:19    -3436.112193        0.591577
BFGS:   28 08:56:20    -3436.192810        0.619666
BFGS:   29 08:56:22    -3436.288602        0.583896
BFGS:   30 08:56:23    -3436.392901        0.703474
BFGS:   31 08:56:25    -3436.497872        0.702448
BFGS:   32 08:56:26    -3436.610661        0.691365
BFGS:   33 08:56:28    -3436.726927        0.623285
BFGS:   34 08:56:29    -3436.846630        0.550897
BFGS:   35 08:56:31    -3436.959233        0.608475
BFGS:   36 08:56:32    -3437.060412        0.716141
BFGS:   37 08:56:33    -3437.146207        0.751181
BFGS:   38 08:56:34    -3437.221105        0.511329
BFGS:   39 08:56:36    -3437.292980        0.560460
BFGS:   40 08:56:37    -3437.364853        0.539856
BFGS:   41 08:56:38    -3437.425316        0.406024
BFGS:   42 08:56:40    -3437.477200        0.450698
BFGS:   43 08:56:41    -3437.530551        0.454501
BFGS:   44 08:56:42    -3437.596916        0.567761
BFGS:   45 08:56:43    -3437.675564        0.639702
BFGS:   46 08:56:45    -3437.747374        0.598775
BFGS:   47 08:56:46    -3437.797185        0.573976
BFGS:   48 08:56:47    -3437.830092        0.468246
BFGS:   49 08:56:48    -3437.857535        0.312483
BFGS:   50 08:56:49    -3437.883482        0.253451
BFGS:   51 08:56:50    -3437.908035        0.309060
BFGS:   52 08:56:52    -3437.929792        0.231770
BFGS:   53 08:56:53    -3437.948673        0.287849
BFGS:   54 08:56:54    -3437.965903        0.278287
BFGS:   55 08:56:55    -3437.981360        0.210564
BFGS:   56 08:56:56    -3437.995205        0.190560
BFGS:   57 08:56:57    -3438.006781        0.167450
BFGS:   58 08:56:58    -3438.015835        0.132575
BFGS:   59 08:56:59    -3438.024594        0.131596
BFGS:   60 08:57:00    -3438.035336        0.193704
BFGS:   61 08:57:01    -3438.048062        0.229573
BFGS:   62 08:57:02    -3438.060874        0.199262
BFGS:   63 08:57:03    -3438.072119        0.182900
BFGS:   64 08:57:04    -3438.082753        0.153687
BFGS:   65 08:57:05    -3438.095087        0.238488
BFGS:   66 08:57:06    -3438.109692        0.340100
BFGS:   67 08:57:07    -3438.124810        0.308644
BFGS:   68 08:57:08    -3438.137997        0.153452
BFGS:   69 08:57:09    -3438.149227        0.210233
BFGS:   70 08:57:10    -3438.159840        0.200945
BFGS:   71 08:57:12    -3438.169481        0.202497
BFGS:   72 08:57:13    -3438.177049        0.131954
BFGS:   73 08:57:14    -3438.182356        0.135487
BFGS:   74 08:57:15    -3438.185933        0.167417
BFGS:   75 08:57:15    -3438.188611        0.139884
BFGS:   76 08:57:16    -3438.190746        0.069112
BFGS:   77 08:57:17    -3438.192236        0.059583
BFGS:   78 08:57:18    -3438.193272        0.061938
BFGS:   79 08:57:19    -3438.194200        0.063679
BFGS:   80 08:57:20    -3438.195228        0.055921
BFGS:   81 08:57:21    -3438.196353        0.065983
BFGS:   82 08:57:22    -3438.197372        0.050730
BFGS:   83 08:57:23    -3438.198163        0.058092
BFGS:   84 08:57:24    -3438.198862        0.067504
BFGS:   85 08:57:25    -3438.199540        0.056641
BFGS:   86 08:57:25    -3438.200057        0.033463
BFGS:   87 08:57:26    -3438.200338        0.028871
BFGS:   88 08:57:27    -3438.200488        0.026026
BFGS:   89 08:57:28    -3438.200624        0.021948
BFGS:   90 08:57:29    -3438.200772        0.025520
BFGS:   91 08:57:29    -3438.200882        0.024901
BFGS:   92 08:57:30    -3438.200932        0.012140
BFGS:   93 08:57:31    -3438.200956        0.010646
BFGS:   94 08:57:31    -3438.200976        0.010200
BFGS:   95 08:57:32    -3438.201001        0.012851
BFGS:   96 08:57:32    -3438.201027        0.010426
BFGS:   97 08:57:33    -3438.201047        0.006559
