      Step     Time          Energy          fmax
BFGS:    0 10:54:51    -3412.810097        4.282011
BFGS:    1 10:54:54    -3414.619031        3.652488
BFGS:    2 10:54:58    -3416.499226        4.108849
BFGS:    3 10:55:01    -3418.685279        5.622206
BFGS:    4 10:55:05    -3419.091872        4.394863
BFGS:    5 10:55:09    -3420.083549        2.481555
BFGS:    6 10:55:13    -3420.508432        1.248576
BFGS:    7 10:55:17    -3420.708657        0.785392
BFGS:    8 10:55:21    -3420.872241        1.255264
BFGS:    9 10:55:25    -3421.228393        2.561700
BFGS:   10 10:55:29    -3421.859388        4.004465
BFGS:   11 10:55:33    -3422.446907        7.005542
BFGS:   12 10:55:37    -3424.384757        6.022521
BFGS:   13 10:55:40    -3426.191392        4.290856
BFGS:   14 10:55:45    -3427.590514        4.286879
BFGS:   15 10:55:48    -3428.608704        3.621464
BFGS:   16 10:55:51    -3430.354431        6.465886
BFGS:   17 10:55:56    -3431.984916        8.886524
      Step     Time          Energy          fmax
BFGS:    0 11:50:39    -3412.810097        4.282011
BFGS:    1 11:50:42    -3414.619031        3.652488
BFGS:    2 11:50:45    -3416.499226        4.108849
BFGS:    3 11:50:48    -3418.685279        5.622206
BFGS:    4 11:50:52    -3419.091872        4.394863
BFGS:    5 11:50:55    -3420.083549        2.481555
BFGS:    6 11:50:59    -3420.508432        1.248576
BFGS:    7 11:51:02    -3420.708657        0.785392
BFGS:    8 11:51:06    -3420.872241        1.255264
BFGS:    9 11:51:10    -3421.228393        2.561700
BFGS:   10 11:51:13    -3421.859388        4.004465
BFGS:   11 11:51:17    -3422.446907        7.005542
BFGS:   12 11:51:20    -3424.384757        6.022521
BFGS:   13 11:51:24    -3426.191392        4.290856
BFGS:   14 11:51:28    -3427.590514        4.286879
BFGS:   15 11:51:30    -3428.608704        3.621464
BFGS:   16 11:51:34    -3430.354431        6.465886
BFGS:   17 11:51:38    -3431.984916        8.886524
