      Step     Time          Energy          fmax
BFGS:    0 08:45:40    -2888.320787        5.902911
BFGS:    1 08:45:42    -2893.623920        6.353646
BFGS:    2 08:45:44    -2899.916485        5.640042
BFGS:    3 08:45:46    -2901.099025        4.443407
BFGS:    4 08:45:48    -2902.349876        4.594072
BFGS:    5 08:45:50    -2903.607495        4.133184
BFGS:    6 08:45:52    -2904.448985        3.066783
BFGS:    7 08:45:53    -2904.909454        2.519555
BFGS:    8 08:45:55    -2905.316766        2.075942
BFGS:    9 08:45:56    -2905.681701        1.500604
BFGS:   10 08:45:58    -2905.976062        1.924304
BFGS:   11 08:45:59    -2906.155938        1.388419
BFGS:   12 08:46:01    -2906.247105        1.102124
BFGS:   13 08:46:02    -2906.323594        0.626689
BFGS:   14 08:46:04    -2906.413381        1.189814
BFGS:   15 08:46:05    -2906.486666        0.834230
BFGS:   16 08:46:07    -2906.575931        0.839828
BFGS:   17 08:46:08    -2906.804809        1.933112
BFGS:   18 08:46:10    -2907.102838        3.809328
BFGS:   19 08:46:12    -2907.261035        4.478729
BFGS:   20 08:46:13    -2907.418523        4.695626
BFGS:   21 08:46:14    -2907.750974        4.785117
BFGS:   22 08:46:15    -2908.205117        4.071532
BFGS:   23 08:46:17    -2908.560530        3.979840
BFGS:   24 08:46:18    -2908.831582        2.387207
BFGS:   25 08:46:20    -2909.317081        2.250677
BFGS:   26 08:46:21    -2909.966531        3.431839
BFGS:   27 08:46:23    -2910.491905        3.020611
BFGS:   28 08:46:25    -2910.949902        3.086471
BFGS:   29 08:46:26    -2911.278190        2.143952
BFGS:   30 08:46:28    -2911.595906        3.102406
BFGS:   31 08:46:29    -2911.766492        1.055384
BFGS:   32 08:46:30    -2911.851975        0.626638
BFGS:   33 08:46:32    -2911.956482        0.802568
BFGS:   34 08:46:33    -2912.008345        0.662728
BFGS:   35 08:46:34    -2912.099411        0.868686
BFGS:   36 08:46:35    -2912.174538        0.856345
BFGS:   37 08:46:44    -2912.263074        0.729399
BFGS:   38 08:46:55    -2912.349639        0.554357
