      Step     Time          Energy          fmax
BFGS:    0 08:12:19    -2786.934210        6.392786
BFGS:    1 08:12:20    -2792.469998        5.275565
BFGS:    2 08:12:21    -2791.707882       19.031526
BFGS:    3 08:12:22    -2796.057017        3.077355
BFGS:    4 08:12:23    -2797.085989        2.111372
BFGS:    5 08:12:24    -2798.582959        4.865327
BFGS:    6 08:12:24    -2799.581621        4.351344
BFGS:    7 08:12:25    -2801.938148        2.754454
BFGS:    8 08:12:26    -2802.749924        1.630713
BFGS:    9 08:12:27    -2803.422521        1.797063
BFGS:   10 08:12:28    -2804.392092        2.777806
BFGS:   11 08:12:29    -2805.098364        2.337945
BFGS:   12 08:12:30    -2805.850985        1.225154
BFGS:   13 08:12:30    -2806.182655        1.505037
BFGS:   14 08:12:31    -2806.660052        1.495974
BFGS:   15 08:12:32    -2806.879737        0.785469
BFGS:   16 08:12:33    -2807.016128        0.688232
BFGS:   17 08:12:33    -2807.122850        0.754145
BFGS:   18 08:12:34    -2807.185858        0.551339
BFGS:   19 08:12:35    -2807.218445        0.294489
BFGS:   20 08:12:36    -2807.235606        0.227982
BFGS:   21 08:12:36    -2807.252676        0.351507
BFGS:   22 08:12:37    -2807.277666        0.378026
BFGS:   23 08:12:37    -2807.311093        0.470494
BFGS:   24 08:12:38    -2807.350126        0.397783
BFGS:   25 08:12:38    -2807.387456        0.447714
BFGS:   26 08:12:39    -2807.415801        0.365985
BFGS:   27 08:12:40    -2807.435263        0.332079
BFGS:   28 08:12:40    -2807.448156        0.254743
BFGS:   29 08:12:41    -2807.456680        0.169004
BFGS:   30 08:12:41    -2807.463677        0.172840
BFGS:   31 08:12:42    -2807.468732        0.127921
BFGS:   32 08:12:42    -2807.471221        0.097220
BFGS:   33 08:12:43    -2807.472049        0.036038
BFGS:   34 08:12:43    -2807.472334        0.023173
BFGS:   35 08:12:44    -2807.472504        0.019456
BFGS:   36 08:12:44    -2807.472626        0.016337
BFGS:   37 08:12:44    -2807.472689        0.011232
BFGS:   38 08:12:45    -2807.472718        0.010507
BFGS:   39 08:12:45    -2807.472736        0.006929
