      Step     Time          Energy          fmax
BFGS:    0 11:04:00      978.553968    10983.609322
BFGS:    1 11:04:05    -4065.495890      706.151431
BFGS:    2 11:04:12    -4472.230780      736.364865
BFGS:    3 11:04:19    -4558.377133     1314.025305
BFGS:    4 11:04:26    -4799.550143      944.329558
BFGS:    5 11:04:34    -4807.988786     1245.288552
      Step     Time          Energy          fmax
BFGS:    0 11:56:46      978.553968    10983.609322
BFGS:    1 11:56:50    -4065.495890      706.151431
BFGS:    2 11:56:58    -4472.230780      736.364865
BFGS:    3 11:57:04    -4558.377133     1314.025305
BFGS:    4 11:57:11    -4799.550143      944.329558
BFGS:    5 11:57:18    -4807.988786     1245.288552
