      Step     Time          Energy          fmax
BFGS:    0 10:53:00     1153.542782    10983.881915
BFGS:    1 10:53:05    -3895.094926      703.117714
BFGS:    2 10:53:12    -4285.001289      730.883133
BFGS:    3 10:53:20    -4265.701665     1525.930520
BFGS:    4 10:53:29    -4543.587738      748.019677
      Step     Time          Energy          fmax
BFGS:    0 11:48:53     1153.542782    10983.881915
BFGS:    1 11:48:59    -3895.094926      703.117714
BFGS:    2 11:49:05    -4285.001289      730.883133
BFGS:    3 11:49:11    -4265.701665     1525.930520
BFGS:    4 11:49:20    -4543.587738      748.019677
