      Step     Time          Energy          fmax
BFGS:    0 10:51:29     3240.290427    11542.241016
BFGS:    1 10:51:35    -2014.873458     2191.248319
BFGS:    2 10:51:41    -3827.026682      760.321109
BFGS:    3 10:51:48    -4185.808862      437.938159
BFGS:    4 10:51:58    -4423.197584      284.890636
BFGS:    5 10:52:05    -4583.171251      265.757886
BFGS:    6 10:52:15    -4675.064340      240.890588
      Step     Time          Energy          fmax
BFGS:    0 11:47:30     3240.290427    11542.241016
BFGS:    1 11:47:35    -2014.873458     2191.248319
BFGS:    2 11:47:41    -3827.026682      760.321109
BFGS:    3 11:47:47    -4185.808862      437.938159
BFGS:    4 11:47:55    -4423.197584      284.890636
BFGS:    5 11:48:02    -4583.171251      265.757886
BFGS:    6 11:48:12    -4675.064340      240.890588
