      Step     Time          Energy          fmax
BFGS:    0 10:55:05     3223.557166    11541.706759
BFGS:    1 10:55:10    -2047.716301     2191.357320
BFGS:    2 10:55:16    -3850.944881      762.748132
BFGS:    3 10:55:22    -4214.315435      426.592671
BFGS:    4 10:55:31    -4451.178525      281.898894
BFGS:    5 10:55:38    -4604.375700      264.548868
BFGS:    6 10:55:48    -4683.268145      234.159943
BFGS:    7 10:56:01    -4729.156124      273.694080
BFGS:    8 10:56:10    -4807.524247      137.774256
BFGS:    9 10:56:17    -4874.941153       99.939853
BFGS:   10 10:56:23    -4918.917326       68.257304
BFGS:   11 10:56:29    -4944.196233       82.300938
BFGS:   12 10:56:34    -4964.411966       41.761134
BFGS:   13 10:56:40    -4983.332569       30.690904
BFGS:   14 10:56:45    -4997.874368       14.683363
BFGS:   15 10:56:51    -5008.217465       13.512820
BFGS:   16 10:56:55    -5016.495069       15.088626
BFGS:   17 10:57:00    -5023.482611       17.920625
BFGS:   18 10:57:06    -5031.293998       14.423077
BFGS:   19 10:57:12    -5037.531906       14.814588
BFGS:   20 10:57:17    -5039.908856       26.242551
BFGS:   21 10:57:22    -5045.091465        9.775565
BFGS:   22 10:57:28    -5047.919041       12.045134
BFGS:   23 10:57:35    -5052.009893       11.054785
      Step     Time          Energy          fmax
BFGS:    0 11:50:53     3223.557166    11541.706759
BFGS:    1 11:50:58    -2047.716301     2191.357320
BFGS:    2 11:51:03    -3850.944881      762.748132
BFGS:    3 11:51:10    -4214.315435      426.592671
BFGS:    4 11:51:18    -4451.178525      281.898894
BFGS:    5 11:51:25    -4604.375700      264.548868
BFGS:    6 11:51:36    -4683.268145      234.159943
BFGS:    7 11:51:48    -4729.156124      273.694080
BFGS:    8 11:51:57    -4807.524247      137.774256
BFGS:    9 11:52:04    -4874.941153       99.939853
BFGS:   10 11:52:10    -4918.917326       68.257304
BFGS:   11 11:52:16    -4944.196233       82.300938
BFGS:   12 11:52:22    -4964.411966       41.761134
BFGS:   13 11:52:27    -4983.332569       30.690904
BFGS:   14 11:52:33    -4997.874368       14.683363
BFGS:   15 11:52:38    -5008.217465       13.512820
BFGS:   16 11:52:43    -5016.495069       15.088626
BFGS:   17 11:52:48    -5023.482611       17.920625
BFGS:   18 11:52:54    -5031.293998       14.423077
BFGS:   19 11:52:59    -5037.531906       14.814588
BFGS:   20 11:53:05    -5039.908856       26.242551
BFGS:   21 11:53:10    -5045.091465        9.775565
BFGS:   22 11:53:15    -5047.919041       12.045134
BFGS:   23 11:53:22    -5052.009893       11.054785
